,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Location,FAA,IATA,ICAO,Name,Designation,Enplanements,URL,checked
47,47,47,47,Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"4,269,258","https://www.google.com/maps/place/Cincinnati%2FNorthern+Kentucky+International+Airport/@39.0508279,-84.6694692,17z/data=!3m1!4b1!4m5!3m4!1s0x8841c8f2f631659f:0xab9a445aa5754dde!8m2!3d39.0508279!4d-84.6672805",1
48,48,48,48,San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"4,033,412","https://www.google.com/maps/place/Luis+Mu%C3%B1oz+Mar%C3%ADn+International+Airport/@18.4365914,-66.0067874,17z/data=!3m1!4b1!4m5!3m4!1s0x8c0365e734a53a4f:0x334a3b7bced31121!8m2!3d18.4365914!4d-66.0025602",1
49,49,49,49,Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"3,976,620","https://www.google.com/maps/place/John+Glenn+Columbus+International+Airport/@39.9999399,-82.8893654,17z/data=!3m1!4b1!4m5!3m4!1s0x883862113489cee3:0xa07d02c8c11064c1!8m2!3d39.9999399!4d-82.8871767",1
50,50,50,50,"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,571,660","https://www.google.com/maps/place/Kahului+Airport/@20.8945979,-156.4403016,17z/data=!4m7!3m6!1s0x7954d2b01b8e0419:0xc35ea962dd1a9041!8m2!3d20.894598!4d-156.4360744!9m1!1b1",1
51,51,51,51,Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,496,724","https://www.google.com/maps/place/General+Mitchell+International+Airport/@42.9475534,-87.8988347,17z/data=!3m1!4b1!4m5!3m4!1s0x880516f3a8951443:0xc2256167cceb8334!8m2!3d42.9475534!4d-87.896646",1
52,52,52,52,Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"3,378,035","https://www.google.com/maps/place/Bradley+International+Airport/@41.9388734,-72.6902586,17z/data=!4m7!3m6!1s0x89e6fdc26190ccb9:0x275b7ad4b5f1a765!8m2!3d41.9388735!4d-72.6860314!9m1!1b1",1
53,53,53,53,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,270,605","https://www.google.com/maps/place/Palm+Beach+International+Airport/@26.6857475,-80.0950052,17z/data=!3m1!4b1!4m5!3m4!1s0x88d8d62b565f5441:0xdfe06cce855176be!8m2!3d26.6857475!4d-80.0928165",1
54,54,54,54,Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"3,135,508","https://www.google.com/maps/place/Jacksonville+International+Airport/@30.4940713,-81.6901255,17z/data=!3m1!4b1!4m5!3m4!1s0x88e5af7f6f0a4213:0x19f818864f7d7b66!8m2!3d30.4940713!4d-81.6879368",1
55,55,55,55,Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,"2,680,240","https://www.google.com/maps/place/Hollywood+Burbank+Airport/@34.1983122,-118.3595923,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2944d39cf4379:0x6de1181bf1d805f1!8m2!3d34.1983122!4d-118.3574036",1
56,56,56,56,Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,647,269","https://www.google.com/maps/place/Albuquerque+International+Sunport/@35.0433332,-106.6171357,17z/data=!3m1!4b1!4m5!3m4!1s0x87220bc3e97c8f0f:0x734478e98fb82dbc!8m2!3d35.0433333!4d-106.6129085",1
57,57,57,57,Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,642,607","https://www.google.com/maps/place/Ted+Stevens+Anchorage+International+Airport/@61.1758863,-149.9922679,17z/data=!3m1!4b1!4m5!3m4!1s0x56c8a2b56b971a11:0x96b75a34a7bd6faf!8m2!3d61.1758863!4d-149.9900792",1
58,58,58,58,Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"2,498,993","https://www.google.com/maps/place/Ontario+International+Airport/@34.0559976,-117.6002809,17z/data=!3m1!4b1!4m5!3m4!1s0x80c334fc5acfd4a7:0x9fc4ed16c859523b!8m2!3d34.0559976!4d-117.5980922",1
59,59,59,59,Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"2,454,878","https://www.google.com/maps/place/Eppley+Airfield/@41.3014753,-95.8967094,17z/data=!3m1!4b1!4m5!3m4!1s0x8793901bd5ad4ee3:0x5d96bd03573b29c2!8m2!3d41.3014753!4d-95.8945207",1
60,60,60,60,Memphis,MEM,MEM,KMEM,Memphis International Airport,P-M,"2,213,083","https://www.google.com/maps/place/Memphis+International+Airport/@35.0420679,-89.9813616,17z/data=!3m1!4b1!4m5!3m4!1s0x887f87e82f777a0d:0x3e73e62b82140982!8m2!3d35.0420679!4d-89.9791729",1
61,61,61,61,Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-M,"2,192,893","https://www.google.com/maps/place/Charleston+International+Airport/@32.8942676,-80.0403477,17z/data=!3m1!4b1!4m5!3m4!1s0x88fe630f4bea2aa3:0x1c4bc7d09feefedf!8m2!3d32.8942676!4d-80.038159",1
62,62,62,62,Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-M,"2,048,916","https://www.google.com/maps/place/Reno-Tahoe+International+Airport/@39.4995906,-119.7723223,17z/data=!3m1!4b1!4m5!3m4!1s0x80993f70adbc4917:0x10401eff20af5940!8m2!3d39.4995907!4d-119.7680951",1
63,63,63,63,Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-M,"1,943,181","https://www.google.com/maps/place/Boise+Airport/@43.5658231,-116.2245046,17z/data=!3m1!4b1!4m5!3m4!1s0x54ae57f721f81b47:0x8ecedfa5e530be2b!8m2!3d43.5658231!4d-116.2223159",1
